date,0x5d22045DAcEAB03B158031eCB7D9d06Fad24609b
2022-05-24,2441.30886625
2022-05-25,2974.71125946
2022-05-26,3012.86600795
2022-05-27,3011.11261941
2022-05-28,2658.20332487
2022-05-29,2341.77193294
2022-05-30,2341.8777286
2022-05-31,2049.29808018
2022-06-01,2487.42274682
2022-06-02,2131.3725987
2022-06-03,2132.8293887
2022-06-04,2133.40172231
2022-06-05,2134.45172231
2022-06-06,2136.15872231
2022-06-07,2146.14425026
2022-06-08,2147.14968971
2022-06-09,2147.97618971
2022-06-10,2180.31063591
2022-06-11,2180.31063591
2022-06-12,1613.89018615
2022-06-13,1616.52102063
2022-06-14,1635.92102063
2022-06-15,1726.68414582
2022-06-16,1729.11414582
2022-06-17,2292.49672944
2022-06-18,2082.01158838
2022-06-19,1563.76169453
2022-06-20,1595.85782315
2022-06-21,1859.54667267
2022-06-22,1860.05071447
2022-06-23,1598.75129755
2022-06-24,1598.7771075
2022-06-25,1598.7771075
2022-06-26,1603.5271075
2022-06-27,1603.4400075
2022-06-28,1752.94417649
2022-06-29,1753.77817649
2022-06-30,1771.81817649
2022-07-01,2173.30522233
2022-07-02,2193.56477343
2022-07-03,1410.02919999
2022-07-04,1410.20571548
2022-07-05,1418.43580734
2022-07-06,1435.63580734
2022-07-07,1438.27825088
2022-07-08,1502.21225088
2022-07-09,1501.21466387
2022-07-10,1501.21466387
2022-07-11,1502.21466387
2022-07-12,1502.31466387
2022-07-13,1553.99041837
2022-07-14,1562.61778106
2022-07-15,1593.32714192
2022-07-16,1596.54949005
2022-07-17,1599.74379662
2022-07-18,1599.867093
2022-07-19,1859.8274548
2022-07-20,1859.87464212
2022-07-21,1862.12095213
2022-07-22,1862.15110533
2022-07-23,1863.48578516
2022-07-24,1863.56078516
2022-07-25,1863.67977439
2022-07-26,1867.70866246
2022-07-27,1871.12318399
2022-07-28,1871.27416033
2022-07-29,2025.2854487
2022-07-30,1763.50217754
2022-07-31,1767.55717754
2022-08-01,1767.60717754
2022-08-02,1771.48083004
2022-08-03,1900.79083004
2022-08-04,1900.84368722
2022-08-05,1901.05368722
2022-08-06,1619.40931435
2022-08-07,1632.62931435
2022-08-08,1637.51723364
2022-08-09,1692.14980013
2022-08-10,1966.09412199
2022-08-11,1711.87654118
2022-08-12,1715.19462707
2022-08-13,1715.2509548
2022-08-14,1731.28623628
2022-08-15,1731.59257156
2022-08-16,1790.29944855
2022-08-17,2309.11008962
2022-08-18,1936.80847439
2022-08-19,1496.31130178
2022-08-20,1496.30551959
2022-08-21,1497.96551959
2022-08-22,1495.26679307
2022-08-23,1495.26679307
2022-08-24,1495.36679308
2022-08-25,1496.51223476
2022-08-26,1858.24589627
2022-08-27,2153.54506683
2022-08-28,2435.71714709
2022-08-29,2578.66716163
2022-08-30,2861.75288197
2022-08-31,2932.64173892
2022-09-01,1954.45153892
2022-09-02,1954.13153892
2022-09-03,2022.08153892
2022-09-04,1757.36750172
2022-09-05,1756.3662779
2022-09-06,1766.8645069
2022-09-07,1911.8745069
2022-09-08,1921.54517627
2022-09-09,1932.18953717
2022-09-10,1933.29348682
2022-09-11,1933.29348682
2022-09-12,1934.41566061
2022-09-13,1965.29253161
2022-09-14,1967.73469404
2022-09-15,1547.55801775
2022-09-16,1597.76524239
2022-09-17,1654.61922735
2022-09-18,1866.40922735
2022-09-19,1920.75520285
2022-09-20,1928.56341225
2022-09-21,1984.09855547
2022-09-22,1990.23614201
2022-09-23,1997.88777203
2022-09-24,1997.90566203
2022-09-25,1997.90566203
2022-09-26,2003.05016802
2022-09-27,2006.77450409
2022-09-28,2008.09550409
2022-09-29,1879.28418617
2022-09-30,1879.50317056
2022-10-01,1879.50417056
2022-10-02,1744.87018594
2022-10-03,1745.87483806
2022-10-04,1745.87483806
2022-10-05,1747.87483806
2022-10-06,1747.87483806
2022-10-07,1745.88677463
2022-10-08,1745.89677463
2022-10-09,1745.89677463
2022-10-10,1746.14177463
2022-10-11,1746.25744065
2022-10-12,1746.25744065
